date,page,device,source,sessions,conversions,bounce_rate,session_duration,conversion_rate,month,engagement_level
2025-10-01 00:00:00,Home,Desktop,Organic,120,12,0.45,180,10%,October,High
2025-10-02 00:00:00,Pricing,Mobile,Paid,95,8,0.5,150,8%,October,Low
2025-10-03 00:00:00,Blog,Desktop,Referral,80,6,0.55,140,8%,October,Low
2025-10-04 00:00:00,Contact,Mobile,Direct,60,4,0.6,120,7%,October,Low
2025-10-05 00:00:00,About,Desktop,Organic,150,15,0.4,200,10%,October,High
2025-10-06 00:00:00,Home,Mobile,Paid,110,10,0.48,170,9%,October,High
2025-10-07 00:00:00,Pricing,Desktop,Referral,90,7,0.52,155,8%,October,Low
2025-10-08 00:00:00,Blog,Mobile,Direct,70,5,0.58,130,7%,October,Low
2025-10-09 00:00:00,Contact,Desktop,Organic,130,13,0.42,190,10%,October,High
2025-10-10 00:00:00,About,Mobile,Paid,100,9,0.46,165,9%,October,High
2025-10-11 00:00:00,Home,Desktop,Referral,120,12,0.45,180,10%,October,High
2025-10-12 00:00:00,Pricing,Mobile,Direct,95,8,0.5,150,8%,October,Low
2025-10-13 00:00:00,Blog,Desktop,Organic,80,6,0.55,140,8%,October,Low
2025-10-14 00:00:00,Contact,Mobile,Paid,60,4,0.6,120,7%,October,Low
2025-10-15 00:00:00,About,Desktop,Referral,150,15,0.4,200,10%,October,High
2025-10-16 00:00:00,Home,Mobile,Direct,110,10,0.48,170,9%,October,High
2025-10-17 00:00:00,Pricing,Desktop,Organic,90,7,0.52,155,8%,October,Low
2025-10-18 00:00:00,Blog,Mobile,Paid,70,5,0.58,130,7%,October,Low
2025-10-19 00:00:00,Contact,Desktop,Referral,130,13,0.42,190,10%,October,High
2025-10-20 00:00:00,About,Mobile,Direct,100,9,0.46,165,9%,October,High
2025-10-21 00:00:00,Home,Desktop,Organic,120,12,0.45,180,10%,October,High
2025-10-22 00:00:00,Pricing,Mobile,Paid,95,8,0.5,150,8%,October,Low
2025-10-23 00:00:00,Blog,Desktop,Referral,80,6,0.55,140,8%,October,Low
2025-10-24 00:00:00,Contact,Mobile,Direct,60,4,0.6,120,7%,October,Low
2025-10-25 00:00:00,About,Desktop,Organic,150,15,0.4,200,10%,October,High
2025-10-26 00:00:00,Home,Mobile,Paid,110,10,0.48,170,9%,October,High
2025-10-27 00:00:00,Pricing,Desktop,Referral,90,7,0.52,155,8%,October,Low
2025-10-28 00:00:00,Blog,Mobile,Direct,70,5,0.58,130,7%,October,Low
2025-10-29 00:00:00,Contact,Desktop,Organic,130,13,0.42,190,10%,October,High
2025-10-30 00:00:00,About,Mobile,Paid,100,9,0.46,165,9%,October,High
2025-10-31 00:00:00,Home,Desktop,Referral,120,12,0.45,180,10%,October,High
2025-11-01 00:00:00,Pricing,Mobile,Direct,95,8,0.5,150,8%,November,Low
2025-11-02 00:00:00,Blog,Desktop,Organic,80,6,0.55,140,8%,November,Low
2025-11-03 00:00:00,Contact,Mobile,Paid,60,4,0.6,120,7%,November,Low
2025-11-04 00:00:00,About,Desktop,Referral,150,15,0.4,200,10%,November,High
2025-11-05 00:00:00,Home,Mobile,Direct,110,10,0.48,170,9%,November,High
2025-11-06 00:00:00,Pricing,Desktop,Organic,90,7,0.52,155,8%,November,Low
2025-11-07 00:00:00,Blog,Mobile,Paid,70,5,0.58,130,7%,November,Low
2025-11-08 00:00:00,Contact,Desktop,Referral,130,13,0.42,190,10%,November,High
2025-11-09 00:00:00,About,Mobile,Direct,100,9,0.46,165,9%,November,High
2025-11-10 00:00:00,Home,Desktop,Organic,120,12,0.45,180,10%,November,High
2025-11-11 00:00:00,Pricing,Mobile,Paid,95,8,0.5,150,8%,November,Low
2025-11-12 00:00:00,Blog,Desktop,Referral,80,6,0.55,140,8%,November,Low
2025-11-13 00:00:00,Contact,Mobile,Direct,60,4,0.6,120,7%,November,Low
2025-11-14 00:00:00,About,Desktop,Organic,150,15,0.4,200,10%,November,High
2025-11-15 00:00:00,Home,Mobile,Paid,110,10,0.48,170,9%,November,High
2025-11-16 00:00:00,Pricing,Desktop,Referral,90,7,0.52,155,8%,November,Low
2025-11-17 00:00:00,Blog,Mobile,Direct,70,5,0.58,130,7%,November,Low
2025-11-18 00:00:00,Contact,Desktop,Organic,130,13,0.42,190,10%,November,High
2025-11-19 00:00:00,About,Mobile,Paid,100,9,0.46,165,9%,November,High
2025-11-20 00:00:00,Home,Desktop,Referral,120,12,0.45,180,10%,November,High
2025-11-21 00:00:00,Pricing,Mobile,Direct,95,8,0.5,150,8%,November,Low
2025-11-22 00:00:00,Blog,Desktop,Organic,80,6,0.55,140,8%,November,Low
2025-11-23 00:00:00,Contact,Mobile,Paid,60,4,0.6,120,7%,November,Low
2025-11-24 00:00:00,About,Desktop,Referral,150,15,0.4,200,10%,November,High
2025-11-25 00:00:00,Home,Mobile,Direct,110,10,0.48,170,9%,November,High
2025-11-26 00:00:00,Pricing,Desktop,Organic,90,7,0.52,155,8%,November,Low
2025-11-27 00:00:00,Blog,Mobile,Paid,70,5,0.58,130,7%,November,Low
2025-11-28 00:00:00,Contact,Desktop,Referral,130,13,0.42,190,10%,November,High
2025-11-29 00:00:00,About,Mobile,Direct,100,9,0.46,165,9%,November,High
